What if my  search results contain documents with unknown data?	{"additionalLinks": null, "summary": "The repository that  searches to find cases that match your search criteria is quite large. As such, some documents in that repository may not contain all of the data types you might expect to see listed. For example, some documents may not list the jurisdiction for the case while others may not list the area of law or the settlement amount. When this information isn't included in the document, it is graphed as \"unknown data\" in your search results."}
Understanding  Search Results	{"additionalLinks": null, "summary": "The  reports provide a graphic view of verdict and settlement data for the cases in your results, presented through a number of charts and graphs . To view individual cases, select the document you want to view from the list of cases below the graphs."}
What is  ?	{"additionalLinks": null, "summary": "Litigators and general counsel are increasingly involved in evaluating and valuing cases throughout the litigation process. They must understand the likelihood of success and the expected outcome from pursuing litigation as they try to decrease their costs and reduce time spent on the case."}
What is an alert?	{"additionalLinks": "How do I create an alert?,How do I view the results of an alert?,How do I edit an alert?,How do I delete an alert?,How do I update a  ?,How do I pause an alert?,How do I restart an alert?,How do I find a specific alert?,Create New  Page,Compare Search Results or Find Similar Documents Alert Page,Edit  Page,Save Alert Results to Folder Page", "summary": "An alert is a search you save to run automatically at intervals you specify.  You can create the following types of alerts (the alert type that is created is the same as the type of search you ran):"}
Alert Creation Failed	{"additionalLinks": null, "summary": "If you see the Alert creation failed notice in your list of alerts, it means there was an error while the alert was being saved, and it was not created. You'll need to delete the alert, run the search again, and re-create the alert."}
Your Alert Was Not Created	{"additionalLinks": null, "summary": "If you see the Alert creation failure notice under an alert in your list of alerts, it means an error occurred that prevented this alert from being saved when you created it. Please delete the alert and create it again.  We are sorry for any inconvenience this has caused."}
Why was this alert paused?	{"additionalLinks": null, "summary": "If you see the Alert paused due to excessive results notice under an alert in your list of alerts, it means that your alert was temporarily suspended because it retrieved an excessive number of results in the past 24 hours.  This could be because your search is not specific enough, or because it contained only one or two general search terms, such as tax orinternational ."}
What's the difference between "Expanded Results" and "Fewer Results"?	{"additionalLinks": null, "summary": "When you run a natural language search on  , the Actions menu at the top of your results will have an option that says eitherExpanded results orFewer results .  The option that is displayed depends on what your results list contains."}
What is the graphical view?	{"additionalLinks": null, "summary": "The graphical view shows the location and distribution of each of your search terms in each of the documents in your results in a graphical display. The graphical view is available in both your results list and in the full document.  At a glance, this view gives you an idea of how often your search terms occur in your results or a specific document, which terms appear in close proximity to others, and which segments they appear in."}
What is  ?	{"additionalLinks": null, "summary": " is a tool used to compare information about your costs against industry data gathered by LexisNexis."}
Currency Statement	{"additionalLinks": null, "summary": "To include the currency information in parentheses with the citation and the text you selected, select How current this code is in"}
What is a  custom page?	{"additionalLinks": "How do I create a  custom page?,How do I make a custom page my start page?", "summary": "Custom pages are pages you customize with your favorite sources and tools, to fit the way you work. You can select the sources and tools you use most often while still having access to all the content and products in your subscription from the  Home page."}
What is delivery?	{"additionalLinks": "How do I download my results or documents?,How do I email my results or documents?,How do I print my results or documents?,How do I send my results or documents to Dropbox?,Download Page,Email Page,Print Page,Send to Dropbox Page,Printer-friendly Feature,Tutorial: Delivering Results in Lexis Advance\u00ae", "summary": "When you select a document from your results, you can download it, email it, print it, or save it to Dropbox."}
What is Explore Content?	{"additionalLinks": null, "summary": "If you know which source or sources you want to search in, use Explore Content on the  home page to navigate to them quickly. You can select a specific source (or group of sources) by content area, jurisdiction, or practice area."}
What is a recent or favorite filter?	{"additionalLinks": "How do I restrict my search using filters?,How do I save a filter as a favorite?,How do I remove a filter I have saved as a favorite?", "summary": "When performing a search using  , you can select any number of pre-search filters to help limit your search results to the information you want to view. This can make it easier to review your results and make the best decision for continuing your research."}
